Book name, Edition (vol), author of the book
A history of Canadian architecture,1943 vol 1,Harold kalman
A history of Canadian architecture,1943 vol2,Harold kalman
A la rencontre de Jacques Prevert,1987, foundation maeght
African style,-,Angelika
An introduction to ancient art and architecture,1966,Goerge T.Radan
Architects'data,1980,Ernst Neufert
Architecture and utopia design and capitalist development,1987,Manfredo Tafuri
Architekt stadplanner,1884-1974,Willem marinus Dudok
Arctic perspective cahier no 1,-,Andreas muller

